"idate","itime","station_id","qualitaets_niveau_air_temperature","struktur_version_air_temperature","lufttemperatur","rel_feuchte"
1947-01-05,11:00:00,284,5,24,-10.3,60
1947-01-05,12:00:00,284,5,24,-8.6,47
1947-01-05,13:00:00,284,5,24,-8.2,40
1947-01-05,14:00:00,284,5,24,-8.8,40
1947-01-05,15:00:00,284,5,24,-9,42
1947-01-05,16:00:00,284,5,24,-10.3,43
1947-01-05,17:00:00,284,5,24,-11.3,45
1947-01-05,18:00:00,284,5,24,-12.2,46
1947-01-05,19:00:00,284,5,24,-13.3,50
1947-01-05,20:00:00,284,5,24,-14,68
1947-01-05,21:00:00,284,5,24,-14.3,71
1947-01-05,22:00:00,284,5,24,-14.3,75
1947-01-05,23:00:00,284,5,24,-14.8,78
1947-01-06,00:00:00,284,5,24,-14.6,79
1947-01-06,01:00:00,284,5,24,-15.1,78
1947-01-06,02:00:00,284,5,24,-15,79
1947-01-06,03:00:00,284,5,24,-14.4,75
1947-01-06,04:00:00,284,5,24,-14.4,72
1947-01-06,05:00:00,284,5,24,-14.9,70
1947-01-06,06:00:00,284,5,24,-14,68
1947-01-06,07:00:00,284,5,24,-13.8,61
1947-01-06,08:00:00,284,5,24,-13.8,61
1947-01-06,09:00:00,284,5,24,-12.7,57
1947-01-06,10:00:00,284,5,24,-10,46
1947-01-06,11:00:00,284,5,24,-8.4,42
1947-01-06,12:00:00,284,5,24,-7.3,39
1947-01-06,13:00:00,284,5,24,-6.7,38
1947-01-06,14:00:00,284,5,24,-6.7,38
1947-01-06,15:00:00,284,5,24,-7.6,39
1947-01-06,16:00:00,284,5,24,-8.8,40
1947-01-06,17:00:00,284,5,24,-9,42
1947-01-06,18:00:00,284,5,24,-10,47
1947-01-06,19:00:00,284,5,24,-10.6,48
1947-01-06,20:00:00,284,5,24,-11.5,50
1947-01-06,21:00:00,284,5,24,-12.2,64
1947-01-06,22:00:00,284,5,24,-13,72
1947-01-06,23:00:00,284,5,24,-15,78
1947-01-07,00:00:00,284,5,24,-15.2,80
1947-01-07,01:00:00,284,5,24,-15.8,81
1947-01-07,02:00:00,284,5,24,-16,82
1947-01-07,03:00:00,284,5,24,-16,81
1947-01-07,04:00:00,284,5,24,-16.2,82
1947-01-07,05:00:00,284,5,24,-16.8,84
1947-01-07,06:00:00,284,5,24,-16.6,83
1947-01-07,07:00:00,284,5,24,-17.6,90
1947-01-07,08:00:00,284,5,24,-17.6,90
1947-01-07,09:00:00,284,5,24,-16.3,78
1947-01-07,10:00:00,284,5,24,-14,77
1947-01-07,11:00:00,284,5,24,-12.5,62
1947-01-07,12:00:00,284,5,24,-13.2,58
1947-01-07,13:00:00,284,5,24,-12.4,55
1947-01-07,14:00:00,284,5,24,-11,54
1947-01-07,15:00:00,284,5,24,-11.5,55
1947-01-07,16:00:00,284,5,24,-12.4,57
1947-01-07,17:00:00,284,5,24,-13.6,60
1947-01-07,18:00:00,284,5,24,-14.2,65
1947-01-07,19:00:00,284,5,24,-14.6,68
1947-01-07,20:00:00,284,5,24,-14.8,69
1947-01-07,21:00:00,284,5,24,-15,70
1947-01-07,22:00:00,284,5,24,-15.5,73
1947-01-07,23:00:00,284,5,24,-16.5,82
1947-01-08,00:00:00,284,5,24,-15.4,81
1947-01-08,01:00:00,284,5,24,-14.6,81
1947-01-08,02:00:00,284,5,24,-14.3,83
1947-01-08,03:00:00,284,5,24,-14,83
1947-01-08,04:00:00,284,5,24,-13.4,83
1947-01-08,05:00:00,284,5,24,-13.1,83
1947-01-08,06:00:00,284,5,24,-13,85
1947-01-08,07:00:00,284,5,24,-12.7,89
1947-01-08,08:00:00,284,5,24,-12.3,90
1947-01-08,09:00:00,284,5,24,-11.5,90
